credit_score,age,tenure_years,balance_usd,num_products,has_cr_card,is_active_member,estimated_salary_usd,monthly_spend_usd,transactions_last_month,mobile_app_usage_min_per_day,campaigns_responded,geography,gender,churn
458,18,5,66.25,4,0,0,38669.08,288.48,57,31,7,Germany,Female,0
587,19,4,29869.8,5,0,1,28346.8,533.57,8,33,3,France,Female,1
710,20,15,198.54,4,1,0,38391.21,75.63,3,65,9,France,Female,1
695,25,15,5517.37,4,1,0,64217.8,519.05,17,22,6,Germany,Female,1
605,25,5,5848.51,2,0,0,22730.3,90.56,8,11,6,France,Female,1
655,18,14,17877.3,1,1,0,36509.09,457.85,5,163,8,France,Female,0
479,29,7,18197.77,3,0,0,91050.36,370.07,16,61,3,Spain,Female,0
627,44,13,318.84,5,0,1,38400.27,746.27,32,0,4,Spain,Male,1
615,18,5,7622.42,5,0,1,38979.06,27.71,2,6,4,France,Female,0
446,18,21,21905.35,7,0,1,98737.09,57.69,5,81,2,France,Female,0
675,42,10,30056.69,3,0,1,31596.5,133.81,28,76,5,Spain,Male,1
680,27,1,23575.41,5,0,0,59644.32,324.32,3,123,7,Spain,Female,1
679,22,1,21332.22,3,0,1,78434.51,649.01,6,15,3,Spain,Female,0
529,18,7,2355.7,3,0,0,53902.29,400.17,27,26,1,Spain,Female,0
536,18,6,10015.53,3,0,0,37884.24,157.62,31,3,1,France,Female,0
597,18,10,18893.13,2,0,0,71089.63,180.74,34,4,3,France,Female,0
599,18,4,987.45,5,0,1,47449.79,322.03,33,1,3,France,Female,0
569,24,3,48548.69,3,0,0,29535.5,388.69,11,71,5,Spain,Female,0
660,39,2,460.75,2,0,0,40806.81,580.93,8,54,6,France,Male,1
667,19,6,18548.51,5,0,1,50676.12,478.79,9,25,4,Spain,Female,0
705,38,2,13594.34,2,1,0,26311.34,677.02,17,30,2,France,Male,1
489,19,4,11018.19,4,0,0,33625.02,111.85,36,24,4,France,Female,0
645,23,2,13193.69,5,0,1,22033.99,233.96,9,87,3,Germany,Female,0
813,18,5,15811.36,6,0,0,28751.16,537.92,13,17,9,France,Female,0
544,22,0,17035.73,3,0,1,43221.29,201.38,9,28,8,France,Female,0
826,30,9,6148.35,3,0,0,26765.79,465.13,1,4,1,Spain,Female,0
639,29,1,6826.68,4,0,0,23061.05,308.78,7,5,10,Germany,Female,1
479,33,14,11625.43,2,0,1,34618.56,102.99,20,5,10,Spain,Male,1
582,35,11,3432.4,4,0,1,39449.52,158.64,8,10,4,Spain,Male,0
511,30,5,8740.05,6,0,1,108886.75,319.07,24,33,1,Germany,Male,0
487,23,0,34352.9,5,0,0,86226.24,979.69,36,21,3,France,Female,0
626,18,8,9043.6,2,0,0,19543.64,470.76,25,3,8,Spain,Female,1
661,35,3,3484.62,6,0,0,54550.86,263.65,14,10,8,France,Male,1
631,18,9,1114.72,4,0,0,64051.28,594.77,17,23,6,Spain,Female,0
530,35,16,9837.59,1,0,1,51999.13,222.15,7,69,2,Spain,Male,0
586,18,2,28250.22,3,0,1,22012.16,384.36,17,82,3,France,Female,1
665,18,21,29973.39,4,1,0,67207.75,545.86,58,153,6,France,Female,1
770,30,9,16306.44,5,0,0,54147.78,0.92,7,20,8,Spain,Male,0
587,18,7,11661.29,1,0,0,18682.5,663.86,22,59,4,France,Female,1
792,19,10,25941.13,3,1,0,20396.03,225.05,6,21,1,Germany,Female,0
658,37,7,16643.09,3,0,0,28491.81,189.48,1,63,6,France,Male,1
482,30,6,4893.43,4,0,0,45374.35,564.65,17,18,2,Spain,Male,0
654,30,5,5190.0,1,0,1,60690.72,310.04,1,63,1,France,Male,0
596,21,8,32565.46,4,0,1,31432.03,32.93,4,13,0,France,Female,0
744,21,3,2258.51,5,0,0,15334.61,45.54,3,31,2,Germany,Female,0
567,18,6,23120.92,4,0,0,20469.98,179.64,31,6,1,Spain,Female,0
591,36,0,5693.71,3,0,0,32755.56,81.45,8,45,4,France,Male,1
630,21,6,9970.98,2,0,0,17247.53,114.29,12,98,5,Spain,Female,1
597,25,1,51184.68,6,0,1,21276.39,175.97,21,38,3,France,Female,0
609,25,1,15374.85,2,0,0,74014.44,367.13,27,68,13,France,Female,1
649,28,0,19333.54,2,1,1,46471.79,646.44,11,1,5,Germany,Female,0
719,34,5,5368.6,4,0,0,38166.77,113.15,13,59,6,Spain,Male,1
609,22,4,44148.27,5,0,1,29553.05,182.84,9,22,5,France,Female,0
613,18,4,31037.9,8,1,1,101892.1,741.38,1,88,4,France,Female,0
629,50,12,11924.08,2,0,1,53672.7,339.49,8,60,9,Spain,Male,1
577,31,4,19090.07,2,0,1,17688.4,120.31,11,52,10,Spain,Male,0
796,23,10,16001.06,1,1,0,36241.18,128.43,4,1,2,Germany,Female,0
521,24,6,3605.73,3,0,0,54863.63,564.28,12,43,3,Spain,Female,0
546,22,4,11651.43,1,0,0,27722.24,131.25,0,24,8,France,Female,0
632,18,3,34933.98,5,1,1,35423.21,148.53,5,79,4,Spain,Female,0
625,50,12,6338.89,1,0,1,122170.67,102.09,25,72,3,Spain,Male,1
586,27,9,11865.97,4,0,1,84456.01,168.67,9,18,3,France,Female,0
604,18,8,2525.93,3,0,1,50115.93,35.58,52,96,1,France,Female,0
596,18,4,8463.74,2,0,0,66272.11,524.11,11,50,2,France,Female,1
617,18,16,8725.75,2,1,1,50150.95,199.19,33,20,6,Spain,Female,1
669,28,2,7803.26,2,0,1,101567.61,164.48,1,45,0,Spain,Female,0
527,20,3,30680.92,2,0,1,87741.86,39.61,8,62,7,Spain,Female,0
597,18,10,31726.58,3,0,0,22302.23,751.26,41,54,0,France,Female,0
599,18,2,5693.02,2,0,1,17559.51,239.8,23,16,5,France,Female,0
494,27,3,18505.22,2,1,1,36319.15,720.6,8,102,6,France,Female,1
481,24,7,6889.76,7,0,1,82896.37,1073.85,48,6,3,Spain,Female,1
814,24,8,4184.37,3,1,0,47905.16,270.66,2,28,5,France,Female,0
637,35,3,27375.53,2,1,0,73957.6,141.94,4,70,3,Germany,Male,1
610,18,6,14494.25,9,0,1,24756.84,389.86,2,91,1,France,Female,0
495,18,4,3050.08,1,0,0,93591.15,745.36,11,54,4,France,Female,0
673,18,12,5655.54,1,0,0,30994.96,253.58,41,27,14,Spain,Female,1
622,45,10,21930.47,3,0,1,67574.16,455.57,13,88,6,Spain,Male,1
438,26,9,11638.05,2,0,0,28084.01,141.87,19,9,5,France,Female,0
689,22,2,20867.88,4,1,1,33325.74,18.25,12,65,3,Germany,Female,0
654,25,0,2778.01,3,0,0,38337.61,312.13,10,68,6,France,Female,0
701,36,7,27064.51,2,1,0,31912.22,162.87,5,47,8,France,Male,1
642,58,22,33626.9,6,0,1,24597.29,245.94,31,10,7,Germany,Male,1
641,19,8,22915.39,5,0,1,61113.07,68.06,15,112,6,Germany,Female,0
446,40,1,39345.38,5,0,0,28415.85,55.68,12,52,1,France,Male,0
493,33,2,13402.31,4,0,0,38643.89,74.51,8,6,3,France,Male,0
674,18,7,5614.52,2,1,1,19752.42,295.73,0,56,10,Spain,Female,0
492,18,17,7362.48,8,0,1,43311.85,107.42,9,9,1,France,Female,0
626,18,4,11417.27,6,0,1,46232.05,307.64,48,80,1,Spain,Female,0
717,45,2,1298.3,5,0,0,15611.21,311.35,9,48,2,Spain,Male,0
445,18,2,2418.46,2,0,1,22498.07,375.12,44,99,2,France,Female,0
617,26,5,19353.91,3,1,1,20039.29,534.14,8,30,4,Spain,Female,0
750,26,7,7591.17,2,0,0,40110.87,157.63,4,43,6,France,Female,0
697,41,1,38584.16,6,0,0,39108.2,118.79,2,47,4,Germany,Male,0
604,24,2,14008.22,3,0,0,18907.55,581.6,3,40,8,France,Female,0
574,18,11,4665.13,5,1,0,58325.7,439.36,4,108,9,Spain,Female,0
629,21,5,15623.88,4,0,1,60748.89,2.72,0,92,1,Spain,Female,0
547,21,3,13818.48,2,0,1,24541.49,359.27,13,33,1,France,Female,1
559,26,5,2863.38,1,1,0,21994.81,11.77,8,48,7,Germany,Female,0
419,23,5,16135.5,4,0,1,20642.82,108.25,40,36,5,Spain,Female,0
748,26,2,4792.06,2,0,0,81297.14,789.61,13,123,3,Germany,Female,0
452,31,3,82.88,3,0,0,77226.04,196.87,12,12,2,Germany,Male,0
666,18,14,4110.68,2,1,0,15870.78,785.15,10,53,7,France,Female,0
646,18,7,5825.09,3,0,0,39884.63,458.05,27,47,5,Germany,Female,1
582,18,2,14613.93,2,0,0,22562.14,675.8,30,35,5,Spain,Female,1
503,28,1,25864.67,1,0,0,76359.39,905.22,0,32,5,Germany,Female,0
578,27,3,14359.54,4,0,0,46284.53,180.58,19,23,14,Spain,Female,1
726,23,1,14806.47,2,0,1,21662.13,1025.78,13,6,4,Spain,Female,0
668,41,2,40055.13,5,0,0,67609.92,189.68,28,37,1,Spain,Male,1
546,25,7,15257.34,2,0,1,21169.75,15.11,10,71,11,France,Female,0
581,49,3,5349.09,5,0,0,58985.03,278.67,15,14,6,Spain,Male,0
634,18,5,36628.42,12,1,1,19382.3,212.35,6,11,4,Germany,Female,0
628,18,8,32803.73,11,0,1,65342.97,250.95,12,33,7,Spain,Female,0
533,24,3,9983.52,5,0,0,78394.87,679.97,30,16,2,Spain,Female,0
575,20,6,14250.65,2,0,0,61878.73,470.07,9,58,4,Spain,Female,0
775,23,6,3151.61,2,0,0,67270.5,55.91,8,66,0,Spain,Female,0
685,48,7,1606.75,2,0,0,34680.33,122.2,38,27,7,Germany,Male,1
711,30,2,150.54,2,0,0,19116.37,358.14,6,61,5,France,Female,0
697,31,0,37373.65,2,0,0,69517.87,440.67,3,6,1,Germany,Male,0
583,22,0,7513.62,3,0,0,87745.71,512.45,28,40,14,Spain,Female,1
627,20,6,22787.13,2,1,0,20347.75,82.55,12,9,12,Spain,Female,0
523,37,1,8693.35,5,0,0,50031.25,358.88,12,46,1,Spain,Male,0
667,45,5,16924.42,5,1,1,17669.54,186.96,3,44,5,Spain,Male,1
571,21,4,24845.95,5,0,1,22976.61,288.35,2,46,1,Spain,Female,1
573,34,6,27770.94,2,0,0,69307.62,705.99,12,65,6,Spain,Male,0
659,18,1,25384.87,9,0,1,67140.69,824.06,2,42,1,France,Female,0
568,18,3,3556.21,2,1,1,93369.82,105.61,20,27,4,Spain,Female,1
580,18,1,7817.18,4,1,1,30926.17,1128.25,21,27,14,Spain,Female,0
533,18,14,22981.86,5,0,1,31771.61,318.87,14,11,0,Spain,Female,0
500,36,4,8003.84,4,0,1,115320.2,515.95,7,20,3,Germany,Male,0
724,52,10,749.49,4,0,1,28090.96,487.73,35,7,3,Spain,Male,1
443,29,3,21416.7,3,0,0,63847.07,467.31,18,36,1,France,Female,0
610,20,6,14808.37,3,0,1,25203.08,282.18,8,114,2,France,Female,0
496,22,2,15767.99,3,0,1,18601.89,268.8,22,2,1,France,Female,0
606,20,5,18108.46,2,1,0,20890.52,1045.83,8,91,10,France,Female,0
695,28,10,16252.24,3,1,0,56424.64,325.03,14,75,2,Germany,Female,1
557,33,7,7947.02,2,0,1,41175.83,125.52,10,27,11,Germany,Male,0
532,18,9,2906.48,4,0,0,16092.41,388.22,36,8,3,Spain,Female,0
484,31,17,6895.12,4,0,1,24324.23,27.16,7,0,5,France,Male,1
603,31,4,42068.68,4,0,0,84933.64,610.27,11,39,11,France,Male,1
514,18,2,25989.52,6,0,0,30549.1,109.16,44,84,1,Germany,Female,0
725,26,16,863.54,1,1,0,72573.89,317.0,7,84,0,Spain,Female,1
646,20,1,19320.57,3,0,1,42483.5,257.26,6,27,7,Germany,Female,0
601,18,5,16809.31,3,1,1,48928.3,478.88,15,32,6,France,Female,1
734,20,4,9576.79,3,1,1,96696.74,41.29,3,28,1,Germany,Female,0
627,20,4,12482.58,6,1,1,53754.56,735.32,7,44,2,Spain,Female,0
579,18,9,21836.28,3,0,0,27435.97,36.49,26,65,9,Spain,Female,1
601,37,7,43100.56,5,0,0,56838.27,873.65,3,35,14,France,Male,1
795,55,1,1241.2,3,1,0,37218.42,439.02,55,37,4,Germany,Male,1
520,40,4,7726.83,1,0,0,47564.2,100.84,24,35,7,Spain,Male,0
717,25,1,11040.21,2,0,0,55969.06,227.52,8,11,2,Spain,Female,0
579,18,4,17042.0,5,0,1,119504.3,564.09,55,51,3,Spain,Female,0
724,35,5,23815.13,1,0,0,33120.65,479.32,19,20,5,Spain,Male,0
594,25,12,32783.13,5,0,1,34239.21,29.07,12,83,6,France,Female,0
587,27,1,19122.36,4,0,0,61415.93,236.07,9,17,5,France,Female,0
463,31,3,49278.18,2,0,0,94640.4,414.81,9,61,5,Germany,Male,0
657,22,2,19142.38,2,1,1,30844.27,55.44,13,112,10,France,Female,0
587,20,4,11904.9,7,0,1,53456.74,344.07,7,62,0,France,Female,1
628,32,1,20456.57,3,1,1,40597.7,175.32,14,60,11,Spain,Male,0
618,18,5,32653.41,3,0,0,67338.36,427.18,29,78,4,Spain,Female,1
659,54,10,30626.2,6,0,0,15096.42,283.63,33,26,10,France,Male,1
715,18,4,26417.76,5,1,1,17840.49,77.46,10,112,3,France,Female,0
608,21,4,14700.11,4,0,1,26504.07,108.33,5,33,5,France,Female,0
663,18,12,15052.36,2,0,0,39265.61,397.1,10,73,9,France,Female,0
673,48,6,17828.78,3,0,0,60111.96,372.48,37,31,4,Spain,Male,1
689,30,3,26955.96,3,0,0,18436.87,263.61,5,31,2,Germany,Male,0
554,45,3,16268.1,3,0,0,41757.64,117.34,23,93,7,Germany,Male,0
536,37,6,14654.29,2,0,1,15459.71,35.65,16,45,10,France,Male,0
591,22,11,5379.67,5,0,1,28349.17,463.01,7,127,2,France,Female,0
554,18,19,8799.01,2,0,0,31553.53,393.99,33,17,2,Germany,Female,0
788,33,5,8424.55,5,0,0,24386.96,239.15,7,53,1,Germany,Male,0
707,18,15,19566.49,4,1,0,18581.16,250.88,22,35,7,France,Female,1
652,34,0,21848.99,1,0,0,22837.47,157.83,10,110,10,France,Male,1
644,26,1,22611.04,2,0,0,64078.21,570.13,11,9,8,Germany,Female,0
612,18,6,24689.7,6,1,1,59569.74,225.05,2,51,4,France,Female,1
461,55,5,30320.53,6,0,0,18363.16,87.05,13,56,5,Germany,Male,0
740,25,6,11254.99,2,0,0,56872.97,784.64,3,26,7,Germany,Female,0
785,21,8,4220.17,3,0,0,78603.3,59.44,2,38,0,Germany,Female,0
756,50,2,40572.15,3,1,0,27013.9,3.12,14,48,16,France,Male,1
661,21,3,16493.58,4,0,1,46165.08,347.14,3,34,1,France,Female,0
649,29,2,145.1,1,1,1,76385.72,601.3,17,111,10,Germany,Female,0
613,28,8,53620.92,2,0,1,43642.08,353.82,8,41,2,France,Female,0
467,40,17,19505.08,2,0,1,71305.22,132.84,14,10,4,Spain,Male,1
820,20,14,5930.56,3,1,0,58554.45,324.38,13,37,2,Spain,Female,0
476,35,10,8855.11,2,0,1,80258.63,300.61,19,26,8,Spain,Male,1
701,50,7,8772.93,3,1,1,80796.07,701.91,27,43,3,France,Male,1
499,48,1,28229.82,4,0,0,17659.43,594.64,11,25,3,France,Male,0
545,18,4,25734.69,2,0,0,60961.54,413.29,14,2,5,France,Female,0
514,29,0,3137.05,5,0,0,16300.79,32.03,22,98,1,Germany,Female,0
607,18,9,10766.44,2,1,1,23275.65,922.2,21,84,2,France,Female,1
533,32,2,25959.73,1,0,0,35915.23,564.55,13,48,8,Spain,Male,0
566,34,1,8751.09,5,0,0,22803.46,492.19,9,58,3,Germany,Male,0
419,38,6,21984.61,6,0,0,75696.18,182.56,24,107,2,Spain,Male,0
541,22,10,945.2,8,0,1,49086.75,501.92,5,19,3,France,Female,1
567,25,2,12792.83,2,0,0,20959.03,677.9,2,61,5,Spain,Female,0
658,64,15,13290.79,7,0,0,67374.21,2.22,69,68,4,France,Male,1
645,18,9,3356.89,2,0,0,63201.66,156.5,32,14,6,Germany,Female,1
586,24,4,14862.79,2,1,0,48475.4,23.27,12,118,8,France,Female,0
552,18,7,25656.49,2,1,1,56232.71,151.72,31,104,0,Germany,Female,1
622,47,9,18334.36,5,0,0,49117.57,391.69,44,35,7,Spain,Male,1
444,23,1,32937.56,5,0,0,16626.03,44.1,42,22,6,France,Female,0
648,22,2,26522.34,1,0,1,43336.63,465.05,1,6,8,Germany,Female,0
456,42,1,1630.54,1,0,0,22934.19,52.61,19,66,4,Germany,Male,0
679,29,1,7393.43,2,0,0,62533.71,153.85,2,59,5,Spain,Female,0
462,25,4,11187.37,6,0,0,17350.41,61.99,43,4,7,Germany,Female,0
618,48,12,18288.37,3,0,1,68233.58,195.91,18,72,6,Spain,Male,1
496,35,0,11112.37,3,0,0,75982.32,719.85,4,32,1,France,Male,0
639,18,7,521.89,5,1,1,17124.46,348.07,11,63,1,Germany,Female,1
651,41,6,4113.43,6,0,0,35112.24,578.74,22,91,4,France,Male,1
836,31,9,4340.94,2,0,0,20118.76,231.93,0,17,3,Germany,Male,0
549,30,10,7390.07,3,0,1,49178.12,288.46,20,20,10,France,Female,1
599,24,4,19618.37,5,0,1,31072.05,4.75,19,85,8,France,Female,0
699,55,10,3397.53,4,0,1,46786.68,586.69,50,3,6,Germany,Male,1
541,18,9,9024.99,4,1,0,29918.08,186.08,3,13,6,France,Female,0
674,18,2,18403.89,2,1,1,59783.78,326.12,3,32,6,Spain,Female,0
593,38,6,5040.57,1,0,1,20586.73,277.31,16,51,7,France,Male,1
628,26,5,20472.94,1,0,1,48443.93,429.6,1,1,4,Spain,Female,0
750,18,31,19654.97,2,1,0,75234.31,166.23,34,119,6,France,Female,1
649,26,3,24345.17,3,0,1,66630.58,18.08,3,26,1,Germany,Female,0
570,18,8,41590.5,5,0,1,99255.94,20.51,5,44,4,Spain,Female,0
574,18,13,22771.88,1,0,0,47554.71,192.35,20,26,2,Spain,Female,0
535,18,8,20747.08,3,0,0,63186.12,197.1,21,29,1,France,Female,0
796,21,4,13071.48,2,0,0,15801.97,163.92,17,30,7,Germany,Female,0
654,28,1,502.64,1,0,1,37479.72,20.72,9,19,8,France,Female,0
619,22,0,15664.74,3,1,1,19907.77,329.04,16,92,10,Spain,Female,0
682,23,1,30772.78,2,0,1,51742.09,274.94,4,86,2,Spain,Female,0
797,21,8,3263.77,1,0,0,68933.79,424.29,8,36,3,Germany,Female,0
595,34,0,33704.1,3,0,0,24795.88,600.71,15,14,15,France,Male,1
579,24,12,12590.22,5,0,1,38525.45,741.73,9,42,4,Spain,Female,0
535,18,4,6855.88,3,0,1,51723.26,447.38,30,81,6,France,Female,1
581,25,5,16049.91,2,0,1,73572.73,353.84,7,4,8,Spain,Female,0
672,18,9,5082.95,7,1,0,93737.37,22.72,2,35,2,Spain,Female,1
581,18,1,12877.01,6,1,1,32762.55,60.66,2,41,4,Spain,Female,1
640,26,3,12026.98,2,0,0,19955.97,180.54,24,35,15,Germany,Female,1
538,33,15,28956.87,8,0,1,29790.27,322.93,16,5,1,France,Male,1
817,32,14,10923.66,4,1,0,50194.2,887.27,13,83,7,Spain,Male,0
557,18,5,8071.72,1,1,1,48967.66,26.92,31,80,5,Germany,Female,1
661,29,3,14273.24,3,0,0,35255.08,505.23,6,32,8,France,Female,1
504,28,1,5618.65,5,0,0,77452.23,140.16,29,43,3,Germany,Female,0
698,30,1,50700.99,1,0,1,22832.31,246.45,1,81,0,Germany,Male,0
631,18,0,8790.66,7,0,1,69413.59,192.71,0,11,0,Spain,Female,1
544,18,8,19523.65,3,0,0,32250.24,58.46,21,100,4,France,Female,0
677,18,4,2771.0,3,0,1,22831.95,900.85,17,76,9,Spain,Female,0
546,21,8,4712.12,2,0,1,34822.13,943.12,23,68,5,France,Female,1
514,25,17,37143.91,6,0,1,21740.87,328.12,1,0,1,Germany,Female,0
615,18,3,14704.17,4,0,1,86756.46,490.62,29,9,5,France,Female,0
738,20,5,25317.68,3,0,0,40481.42,76.43,5,83,4,Germany,Female,0
473,24,5,25116.07,1,0,1,30584.73,298.19,4,20,6,Spain,Female,0
714,27,3,10789.65,2,0,0,43360.73,59.16,7,13,4,France,Female,0
656,34,1,5115.7,1,0,0,47936.48,409.25,4,70,3,France,Male,1
555,18,8,3946.71,3,0,0,16298.5,217.32,20,115,2,Germany,Female,0
618,18,14,18337.29,3,0,0,82366.74,774.15,35,65,2,Spain,Female,0
537,24,2,20302.01,5,0,0,78217.6,226.19,29,41,2,France,Female,0
642,18,10,48230.83,2,1,0,28400.68,463.22,19,61,0,Germany,Female,1
619,18,2,19382.96,7,0,1,50612.91,218.17,16,1,6,Spain,Female,0
325,18,26,1786.43,9,0,1,20111.33,113.22,6,78,9,Spain,Female,0
634,26,6,87.56,2,0,1,25752.74,427.84,4,33,1,Germany,Female,0
497,38,2,9617.91,2,0,0,26726.39,258.88,8,51,3,France,Male,0
690,40,2,35668.92,2,0,0,41192.62,284.28,8,71,5,Germany,Male,1
657,18,4,3771.76,4,0,1,36276.39,122.21,9,29,2,France,Female,0
524,20,5,24948.67,4,0,1,30827.98,310.08,30,96,2,Spain,Female,0
481,35,15,32583.78,4,0,1,24109.21,258.72,10,57,4,Spain,Male,1
732,34,7,17980.65,1,1,0,26818.79,12.82,27,94,9,Spain,Male,1
701,18,3,4276.51,6,0,1,77540.74,171.44,16,22,6,France,Female,0
595,18,13,37403.89,3,1,0,84046.72,589.16,12,14,9,France,Female,0
630,27,6,13690.79,3,0,1,50631.78,574.02,3,33,1,Spain,Female,0
446,23,2,20493.83,3,0,0,21826.14,16.45,24,11,2,France,Female,0
807,20,8,8631.89,2,0,0,27172.85,859.51,12,42,2,France,Female,0
618,18,6,249.63,3,0,0,28932.2,390.39,47,3,13,Spain,Female,1
513,27,12,17011.96,7,0,1,93511.37,530.17,19,72,4,Germany,Female,1
617,28,7,5142.16,1,0,1,21043.92,371.85,4,35,3,Spain,Female,0
552,28,1,10264.16,2,0,0,60404.88,465.1,1,1,6,Germany,Female,0
536,18,9,4361.7,5,0,0,101976.22,343.04,55,52,4,France,Female,0
659,52,5,9034.69,2,1,0,23660.97,15.71,27,85,4,France,Male,1
662,28,0,4443.03,2,0,0,26002.39,54.44,2,3,6,France,Female,0
505,31,16,10101.58,5,0,1,66332.72,925.92,9,115,9,Germany,Male,1
540,19,2,16830.72,1,0,1,15644.36,844.53,10,40,4,France,Female,0
510,18,18,10072.57,9,0,1,56771.1,377.63,15,19,4,Germany,Female,0
631,18,1,1849.49,6,1,1,23585.47,439.78,10,50,5,Spain,Female,0
674,27,7,3594.0,1,1,0,73968.29,95.9,23,153,13,Spain,Female,0
564,22,9,15422.19,6,0,1,26281.43,631.93,5,68,3,Germany,Female,0
743,27,8,24881.68,2,0,0,46505.14,671.85,9,36,7,Germany,Female,0
597,29,12,3834.76,5,0,0,80275.22,84.08,12,45,2,France,Female,0
658,21,6,4859.62,4,0,0,19673.97,6.09,8,5,8,France,Female,1
711,29,3,26475.37,1,0,0,31843.78,278.46,3,25,3,France,Female,0
544,18,3,30822.82,5,0,0,46789.14,886.82,36,103,1,France,Female,0
517,27,6,13602.25,3,0,1,23970.52,237.84,6,24,3,Spain,Female,1
555,25,3,6399.95,2,1,0,27653.07,24.99,6,76,3,Germany,Female,1
623,18,14,6291.71,4,0,0,81941.72,137.81,40,32,0,Spain,Female,0
596,27,5,9179.74,7,0,0,56346.79,856.89,13,70,2,France,Female,1
629,23,3,19435.91,3,0,1,66789.3,369.03,6,68,5,Spain,Female,0
597,29,6,8518.03,3,0,1,34829.64,80.14,6,23,5,France,Female,0
587,19,4,2590.35,9,0,0,28634.64,170.42,61,6,6,France,Female,0
379,50,9,10105.42,3,0,0,15213.18,520.94,12,28,2,Spain,Male,0
622,25,1,15945.77,2,0,1,57490.48,169.73,7,5,12,Spain,Female,0
576,33,7,18542.79,1,0,0,115849.42,123.09,11,15,4,Spain,Male,0
625,18,9,8090.32,5,0,0,15278.81,171.96,45,22,0,Spain,Female,0
484,38,16,1027.2,9,0,1,56537.98,54.54,32,4,1,France,Male,1
558,18,3,4989.2,5,0,1,45742.54,41.32,52,100,2,Germany,Female,0
587,18,10,9492.42,3,1,1,88809.82,167.4,16,34,7,France,Female,1
580,29,7,18275.18,4,0,1,28612.79,466.31,13,21,6,Spain,Female,0
746,18,4,6917.12,4,0,0,48689.84,135.8,3,20,1,Germany,Female,0
638,19,5,3286.98,5,0,1,23913.69,243.11,1,16,1,Germany,Female,0
558,33,4,21719.82,1,0,0,90700.25,98.89,12,39,7,Germany,Male,1
403,51,2,10650.58,6,0,0,27571.8,52.82,11,60,5,Germany,Male,0
442,29,15,7378.72,2,0,1,55602.88,335.06,8,7,2,France,Female,1
653,21,6,32891.13,1,0,0,29514.55,460.89,11,61,0,France,Female,1
568,18,9,24739.8,1,0,0,25709.93,244.37,12,91,4,Spain,Female,0
540,23,5,4171.45,1,0,0,23200.86,1067.88,8,55,2,France,Female,0
691,19,2,3549.06,5,0,1,42092.98,1025.56,9,82,4,Germany,Female,1
625,22,3,42654.85,8,0,0,49647.72,255.52,11,75,2,Spain,Female,1
655,24,0,20739.52,2,1,1,15590.92,22.25,9,5,6,France,Female,0
586,18,1,2171.34,3,0,1,27145.01,10.97,2,23,3,France,Female,1
516,25,4,4166.93,3,0,0,46894.68,209.45,14,44,3,Germany,Female,0
767,27,17,8803.83,2,1,0,52163.99,259.89,19,141,16,Spain,Female,1
637,19,5,36471.9,3,1,1,34755.75,251.38,21,117,14,Germany,Female,0
395,43,24,5114.92,2,0,1,101509.87,107.25,16,9,11,France,Male,1
577,18,9,12496.66,3,1,0,85758.95,539.39,15,43,4,Spain,Female,0
454,28,13,13459.13,3,0,1,32593.85,474.98,7,15,0,Germany,Female,1
578,18,16,45538.52,3,0,0,74832.13,76.76,45,55,1,Spain,Female,0
582,20,5,32327.56,4,0,1,110341.97,7.93,6,40,0,Spain,Female,1
548,34,3,36573.67,7,0,1,23684.83,100.16,27,16,3,France,Male,0
518,34,1,27150.39,4,0,0,19155.45,311.65,7,76,3,Spain,Male,0
574,18,3,31663.78,5,0,1,67370.39,13.28,2,29,6,Spain,Female,1
449,34,17,30462.21,7,0,1,24611.59,431.1,21,44,2,France,Male,1
603,19,6,1891.65,4,1,0,23300.48,386.34,4,55,4,France,Female,1
676,32,1,10197.07,4,0,0,37575.73,212.85,0,96,7,Spain,Male,0
465,40,17,10192.51,1,0,1,37095.94,1061.52,4,77,2,Germany,Male,1
634,32,5,41241.73,4,0,0,29320.06,67.43,6,98,2,Germany,Male,1
608,44,0,3571.75,4,1,0,32006.86,677.12,18,63,8,France,Male,0
699,25,2,31887.75,2,0,1,26957.33,700.6,0,105,6,Germany,Female,0
604,32,9,6130.86,2,0,1,37230.35,164.67,2,69,1,France,Male,0
634,22,5,1226.42,5,0,1,27304.44,440.2,1,37,0,Germany,Female,0
550,18,10,24403.96,8,0,1,37850.17,103.22,11,64,3,France,Female,0
592,18,1,7386.9,1,1,1,90706.13,15.37,8,116,7,France,Female,0
881,34,13,23695.97,5,0,0,69548.21,62.21,5,38,2,Spain,Male,0
484,18,2,23695.29,6,0,0,66894.36,555.14,62,88,5,France,Female,0
609,27,1,11504.78,5,0,0,20035.02,52.11,16,9,3,France,Female,1
615,22,10,16859.62,2,1,0,90171.21,216.49,7,22,6,France,Female,0
641,33,3,7186.17,3,0,0,76969.55,118.21,12,110,2,Germany,Male,1
664,23,2,16240.52,3,0,1,22197.47,144.49,1,135,1,France,Female,0
544,18,9,16896.56,3,0,0,45662.92,372.47,36,40,5,France,Female,0
777,30,8,17914.99,3,0,0,33911.29,767.45,4,50,3,Spain,Female,0
786,39,5,20723.1,1,1,0,69040.24,82.81,13,29,3,Germany,Male,1
620,27,10,7827.48,2,1,0,67832.87,20.48,1,13,3,Spain,Female,0
652,18,10,4255.24,2,1,0,26858.2,424.85,0,58,9,France,Female,0
491,42,16,7733.73,5,0,1,38671.21,212.31,16,52,3,France,Male,1
